time (hr)               ,od-sensors-1.od-680      ,od-sensors-2.od-680      ,od-sensors-3.od-680      ,od-sensors-4.od-680      ,od-sensors-5.od-680      ,od-sensors-6.od-680      ,od-sensors-7.od-680      ,od-sensors-8.od-680      
0.083333,0.64932,0.00951,-0.0139,                         ,0.00261,-0.04028,-0.01768,-0.03801
0.166667,0.64932,0.00524,-0.01082,                         ,0.00421,-0.03126,-0.01559,-0.03734
0.25,0.64803,0.01248,-0.01068,                         ,0.00465,-0.02911,-0.01378,-0.03668
0.333333,0.64674,0.01712,-0.00644,                         ,0.00655,-0.02695,-0.01266,-0.03414
0.416667,0.6461,0.00744,-0.00672,                         ,0.01024,-0.02586,-0.01126,-0.03561
0.5,0.64867,0.01592,-0.00601,                         ,0.0098,-0.026,-0.01027,-0.0332
0.583333,0.6461,0.02029,-0.00101,                         ,0.01143,-0.02573,-0.01013,-0.03454
0.666667,0.64738,0.00862,-0.00216,                         ,0.01143,-0.02518,-0.00928,-0.03521
0.75,0.64738,0.01248,-0.00244,                         ,0.01217,-0.02423,-0.00801,-0.03239
0.833333,0.67735,0.01833,-0.00913,                         ,0.015,-0.02396,-0.00772,-0.03441
0.916667,0.67804,0.02257,-0.00828,                         ,0.01157,-0.02382,-0.00744,-0.03104
1,0.67735,0.01397,-0.00729,                         ,0.01247,-0.02396,-0.00716,-0.03454
1.083333,0.67873,0.02579,-0.00899,                         ,0.01232,-0.02505,-0.00772,-0.03145
1.166667,0.67735,0.01607,-0.00729,                         ,0.01187,-0.02478,-0.0073,-0.03521
1.25,0.67873,0.02136,-0.00757,                         ,0.01381,-0.02491,-0.00716,-0.03414
1.333333,0.67942,0.01878,-0.0063,                         ,0.01247,-0.02546,-0.00687,-0.03037
1.416667,0.68711,0.0312,-0.0063,                         ,0.01217,-0.02546,-0.00758,-0.03239
1.5,0.6843,0.01352,-0.00487,                         ,0.01455,-0.02505,-0.00744,-0.03507
1.583333,0.68781,0.02794,-0.00402,                         ,0.01455,-0.02518,-0.00645,-0.03266
1.666667,0.68852,0.0209,-0.00701,                         ,0.01276,-0.026,-0.00702,-0.03561
1.75,0.68781,0.02825,-0.0043,                         ,0.01381,-0.02559,-0.00702,-0.0328
1.833333,0.68852,0.01442,-0.00544,                         ,0.01351,-0.02613,-0.00702,-0.03654
1.916667,0.68781,0.02902,-0.00316,                         ,0.01202,-0.02559,-0.00687,-0.0332
2,0.68781,0.02887,-0.0013,                         ,0.01425,-0.02586,-0.00659,-0.03427
2.083333,0.68781,0.02902,-0.00516,                         ,0.01515,-0.02654,-0.00687,-0.03347
2.166667,0.68852,0.01412,-0.00445,                         ,0.01425,-0.02627,-0.00673,-0.0328
2.25,0.68852,0.02748,-0.00402,                         ,0.01411,-0.02668,-0.00602,-0.03347
2.333333,0.68923,0.02871,-0.00187,                         ,0.01425,-0.02586,-0.00687,-0.034
2.416667,0.68923,0.0298,-0.00115,                         ,0.01351,-0.02641,-0.00702,-0.03414
2.5,0.68923,0.02733,-0.00115,                         ,0.01366,-0.02654,-0.00673,-0.03454
2.583333,0.68923,0.03011,-0.00029,                         ,0.0156,-0.02695,-0.00645,-0.0328
2.666667,0.68852,0.02748,-0.00416,                         ,0.01232,-0.02749,-0.0073,-0.03454
2.75,0.68923,0.02794,0,                         ,0.01455,-0.02735,-0.00645,-0.03481
2.833333,0.68994,0.02594,-0.00359,                         ,0.01336,-0.02708,-0.00716,-0.0336
2.916667,0.68852,0.02995,0.00087,                         ,0.01411,-0.02695,-0.00702,-0.03494
3,0.68923,0.02625,-0.00302,                         ,0.01381,-0.02735,-0.00645,-0.03507
3.083333,0.69065,0.03011,-0.00216,                         ,0.01575,-0.02681,-0.0063,-0.03507
3.166667,0.68923,0.0298,-0.00316,                         ,0.01635,-0.02735,-0.00616,-0.03574
3.25,0.68994,0.02918,0.00231,                         ,0.01455,-0.02668,-0.00645,-0.03561
3.333333,0.69065,0.02395,-0.00216,                         ,0.0156,-0.02708,-0.00659,-0.03507
3.416667,0.68994,0.02487,-0.00058,                         ,0.015,-0.02708,-0.00673,-0.03521
3.5,0.68994,0.02609,-0.00158,                         ,0.0153,-0.02695,-0.00588,-0.03494
3.583333,0.69065,0.03042,0.00115,                         ,0.01515,-0.02708,-0.00602,-0.03454
3.666667,0.69065,0.02563,-0.00043,                         ,0.01665,-0.02641,-0.00531,-0.03507
3.75,0.69136,0.03088,0.00029,                         ,0.0162,-0.02681,-0.00502,-0.03467
3.833333,0.69207,0.02671,-0.00058,                         ,0.01665,-0.02681,-0.00588,-0.03521
3.916667,0.69136,0.03228,0.00173,                         ,0.0159,-0.02641,-0.00559,-0.03481
4,0.69136,0.02303,0.00072,                         ,0.0159,-0.02668,-0.00531,-0.03427
4.083333,0.69136,0.0326,0.00144,                         ,0.01665,-0.02586,-0.00531,-0.03481
4.166667,0.69207,0.03073,0.00144,                         ,0.0168,-0.02681,-0.00459,-0.03454
4.25,0.69207,0.03291,0.00101,                         ,0.01695,-0.026,-0.00417,-0.03414
4.333333,0.69207,0.02044,0.00144,                         ,0.01665,-0.02627,-0.00445,-0.03494
4.416667,0.69278,0.03322,0.0013,                         ,0.0168,-0.02586,-0.00445,-0.03494
4.5,0.69278,0.03104,0.00217,                         ,0.0162,-0.02613,-0.00459,-0.03481
4.583333,0.6935,0.03228,0.00144,                         ,0.01755,-0.02654,-0.00402,-0.03481
4.666667,0.6935,0.02748,0.00376,                         ,0.0174,-0.02627,-0.00359,-0.03427
4.75,0.69278,0.03275,0.00333,                         ,0.01801,-0.02613,-0.00331,-0.03454
4.833333,0.6935,0.02671,0.0042,                         ,0.01755,-0.02627,-0.00374,-0.03427
4.916667,0.69493,0.03353,0.0061,                         ,0.01786,-0.026,-0.00374,-0.03427
5,0.6935,0.02918,0.00347,                         ,0.01921,-0.02559,-0.00288,-0.03387
5.083333,0.6935,0.03432,0.00449,                         ,0.01831,-0.02559,-0.00302,-0.03441
5.166667,0.69493,0.02949,0.00318,                         ,0.01876,-0.02559,-0.00331,-0.03641
5.25,0.69421,0.03494,0.00566,                         ,0.0174,-0.02546,-0.00245,-0.03387
5.333333,0.69565,0.03416,0.00537,                         ,0.01786,-0.026,-0.00173,-0.03454
5.416667,0.69709,0.03494,0.00478,                         ,0.01891,-0.02559,-0.00259,-0.03387
5.5,0.69421,0.03166,0.00493,                         ,0.01921,-0.02532,-0.00187,-0.03414
5.583333,0.69493,0.03447,0.00683,                         ,0.02012,-0.02532,-0.00216,-0.03387
5.666667,0.69421,0.03416,0.00727,                         ,0.01936,-0.02505,-0.00245,-0.03414
5.75,0.69565,0.03589,0.0061,                         ,0.01952,-0.02505,-0.00216,-0.034
5.833333,0.69565,0.03135,0.00624,                         ,0.01997,-0.02478,-0.00115,-0.03427
5.916667,0.69565,0.03589,0.00947,                         ,0.01967,-0.02478,-0.00144,-0.03441
6,0.69709,0.03589,0.00595,                         ,0.01967,-0.02478,-0.00101,-0.0328
6.083333,0.69637,0.03667,0.00859,                         ,0.02058,-0.02478,-0.00115,-0.034
6.166667,0.69709,0.03104,0.00756,                         ,0.02133,-0.0245,-0.00144,-0.03374
6.25,0.69709,0.03636,0.0108,                         ,0.02103,-0.02382,-0.0013,-0.03374
6.333333,0.69709,0.03541,0.00888,                         ,0.02088,-0.02505,-0.00101,-0.03414
6.416667,0.69709,0.03636,0.0111,                         ,0.02012,-0.02491,-0.00058,-0.034
6.5,0.69854,0.03073,0.00844,                         ,0.02088,-0.02437,0.00014,-0.0336
6.583333,0.69781,0.03636,0.00741,                         ,0.02164,-0.02437,-0.00014,-0.03427
6.666667,0.69781,0.03369,0.00962,                         ,0.02149,-0.02423,-0.00058,-0.03374
6.75,0.69854,0.03778,0.01287,                         ,0.02194,-0.02437,0.00029,-0.03266
6.833333,0.69854,0.03291,0.00888,                         ,0.02209,-0.02423,0.00029,-0.03454
6.916667,0.69854,0.03857,0.01243,                         ,0.02225,-0.02396,0.00014,-0.0332
7,0.69854,0.03447,0.0105,                         ,0.02225,-0.02396,0.00029,-0.03548
7.083333,0.69854,0.03338,0.01036,                         ,0.02255,-0.02355,0.00043,-0.03387
7.166667,0.69854,0.03353,0.0108,                         ,0.02225,-0.02314,0.00072,-0.03467
7.25,0.69999,0.03825,0.0111,                         ,0.02453,-0.02355,0.00072,-0.03293
7.333333,0.70071,0.03667,0.01184,                         ,0.02515,-0.02355,0.00217,-0.03374
7.416667,0.69999,0.03526,0.01347,                         ,0.0253,-0.02328,0.00217,-0.0332
7.5,0.69854,0.0351,0.01169,                         ,0.02499,-0.023,0.00203,-0.03588
7.583333,0.70071,0.03683,0.01332,                         ,0.02438,-0.02341,0.00188,-0.0328
7.666667,0.69709,0.03307,0.02127,                         ,0.02423,-0.02328,0.00246,-0.03548
7.75,0.70071,0.03888,0.01332,                         ,0.02591,-0.02273,0.00188,-0.03333
7.833333,0.70144,0.0312,0.01362,                         ,0.02453,-0.02287,0.00246,-0.03561
7.916667,0.70144,0.03699,0.01287,                         ,0.02515,-0.02232,0.00362,-0.03266
8,0.7029,0.03541,0.01421,                         ,0.02622,-0.02232,0.0029,-0.03574
8.083333,0.70217,0.03778,0.0157,                         ,0.02776,-0.02287,0.00319,-0.03199
8.166667,0.7029,0.03762,0.01496,                         ,0.02714,-0.02205,0.00348,-0.03628
8.25,0.70217,0.04094,0.01555,                         ,0.0276,-0.02205,0.00421,-0.0328
8.333333,0.70217,0.03182,0.0154,                         ,0.02668,-0.02163,0.00421,-0.034
8.416667,0.7029,0.04286,0.01885,                         ,0.02653,-0.02163,0.00494,-0.03199
8.5,0.70363,0.03967,0.01645,                         ,0.02653,-0.02109,0.00406,-0.03561
8.583333,0.70363,0.0443,0.01915,                         ,0.0273,-0.02122,0.00464,-0.03212
8.666667,0.70437,0.03432,0.01795,                         ,0.02714,-0.02109,0.0045,-0.03441
8.75,0.70437,0.04478,0.01885,                         ,0.0293,-0.02136,0.00581,-0.03131
8.833333,0.7051,0.03841,0.01991,                         ,0.02745,-0.02054,0.00567,-0.03226
8.916667,0.7051,0.04398,0.01885,                         ,0.02915,-0.01999,0.00567,-0.03091
