time (hr),od-sensors-3.od-680_E21,od-sensors-6.od-680_E22,od-sensors-2.od-680_F21,od-sensors-5.od-680_F22,od-sensors-1.od-680_G21,od-sensors-7.od-680_G23,od-sensors-7.od-680_H21,od-sensors-8.od-680_H22
0.083333,0,0,0,0,0.003177333,0.003237483,0,0.00053
0.166667,0.001085,0.000198333,0.000335833,0.000336031,0.0028315,0.002830646,6.92E-05,0.00159
0.25,0.000806,0.000401333,0.000537333,0.000549713,0.002486,0.002484984,0.000166667,0.00159
0.333333,0.001866,0.000849333,0.001035333,0.001019709,0.001932,0.001949758,0.000222667,0.00079
0.416667,0.002,0.000821333,0.001229333,0.00124786,0.00138,0.001386868,0.000500667,0.00093
0.5,0.002556,0.000821333,0.001313333,0.001310076,0.000966,0.000982093,0.000584667,0.00119
0.583333,0.002262,0.000905333,0.001479333,0.001506986,0.00069,0.000675102,0.000724667,0.00132
0.666667,0.00303,0.000905333,0.001507333,0.001494824,0.00069,0.000697747,0.000724667,0.00119
0.75,0.002976,0.000989333,0.001397333,0.001406612,0.000414,0.000417262,0.000808667,0.00106
0.833333,0.003028,0.000989333,0.001453333,0.001452491,0.000276,0.000276311,0.000836667,0.00132
0.916667,0.003214,0.001157333,0.001481333,0.00147726,0.000276,0.000278943,0.000668667,0.00079
1,0.003268,0.001129333,0.001287333,0.001314349,0.000276,0.000272756,0.000668667,0.00146
1.083333,0.003136,0.000989333,0.001313333,0.00134425,0,0,0.000696667,0.0004
1.166667,0.003242,0.000849333,0.001535333,0.001576197,0.000138,0.000140535,0.000808667,0.00053
1.25,0.00343,0.000821333,0.001589333,0.001572772,0.000276,0.000281347,0.001002667,0.00079
1.333333,0.003644,0.000681333,0.001589333,0.001631481,0.000276,0.00027605,0.001170667,0.00093
1.416667,0.00367,0.000625333,0.001699333,0.00171341,0.000276,0.000280886,0.001336667,0.00119
1.5,0.00375,0.000625333,0.001645333,0.001642655,0.000276,0.000280126,0.001420667,0.00106
1.583333,0.003724,0.000709333,0.001395333,0.001384178,0.000276,0.000272412,0.001558667,0.00146
1.666667,0.003536,0.000737333,0.001257333,0.00124385,0.000138,0.000138686,0.001364667,0.00027
1.75,0.003536,0.000793333,0.001257333,0.001235283,0.000138,0.000140578,0.001502667,0.00027
1.833333,0.003588,0.000709333,0.001119333,0.001104685,0.000138,0.000141336,0.001418667,0
1.916667,0.003562,0.000653333,0.001063333,0.001074552,0.000276,0.000269141,0.001444667,0.00132
2,0.003482,0.000597333,0.001007333,0.001033902,0.000276,0.000276421,0.001388667,0.0004
2.083333,0.003508,0.000625333,0.000869333,0.000885069,0.000276,0.000271029,0.001388667,0.00146
2.166667,0.00356,0.000513333,0.000785333,0.000767782,0.000276,0.000281393,0.001304667,0.0004
2.25,0.00364,0.000513333,0.000673333,0.000674278,0.000276,0.000270415,0.001304667,0
2.333333,0.003666,0.000457333,0.000589333,0.000598114,0.000138,0.000140677,0.001304667,0.00053
2.416667,0.003986,0.000373333,0.000589333,0.000596952,0.000138,0.000140577,0.001276667,-0.00013
2.5,0.004094,0.000373333,0.000643333,0.000655705,0.000276,0.000280581,0.001302667,0.00013
2.583333,0.00388,0.000233333,0.000643333,0.000642624,0.000138,0.00013591,0.001330667,0
2.666667,0.003722,0.000177333,0.000533333,0.000538907,0.000138,0.000140202,0.001302667,-0.00026
2.75,0.003748,0.000121333,0.000589333,0.000588214,0.000276,0.000276917,0.001276667,-0.00026
2.833333,0.003562,0.000121333,0.000395333,0.000388522,0.000138,0.000136132,0.001250667,0.00027
2.916667,0.003508,6.53E-05,0.000369333,0.000365657,0.000138,0.00014024,0.001306667,0.00013
3,0.003642,0.000177333,0.000259333,0.00025577,0.000138,0.000135005,0.001530667,-0.00013
3.083333,0.003694,0.000177333,0.000425333,0.000418898,0.000138,0.000141067,0.001530667,-0.00053
3.166667,0.003774,0.000317333,0.000259333,0.000263837,0,0,0.001502667,-0.00053
3.25,0.003826,0.000149333,0.000315333,0.00031292,0,0,0.001362667,0.00013
3.333333,0.003852,6.53E-05,0.000121333,0.000119604,-1.11E-16,-1.09E-16,0.001334667,-0.00053
3.416667,0.003692,-4.67E-05,0.000175333,0.000175254,0.000138,0.000134945,0.001054667,-0.00066
3.5,0.00364,-4.67E-05,6.53E-05,6.49611E-05,0.000138,0.000139281,0.001138667,0
3.583333,0.003748,-0.000102667,9.33E-05,9.33479E-05,0.000276,0.000277881,0.001220667,-0.00079
3.666667,0.003722,9.33E-05,0.000121333,0.000118963,0.000414,0.000411727,0.001554667,-0.00026
3.75,0.00391,0.000233333,0.000341333,0.000333942,0.000552,0.000541236,0.001526667,0.00027
3.833333,0.00399,0.000401333,0.000287333,0.000288625,0.00069,0.000689557,0.001778667,0.00053
3.916667,0.004576,0.000401333,0.000563333,0.000553452,0.00069,0.000686551,0.001918667,0.00013
4,0.004708,0.000401333,0.000673333,0.000678697,0.000828,0.000826996,0.002226667,0.00066
4.083333,0.005028,0.000429333,0.000701333,0.00070506,0.000966,0.000954295,0.002338667,0.00027
4.166667,0.005216,0.000541333,0.000785333,0.000783522,0.000966,0.000984429,0.002646667,0.00318
4.25,0.005484,0.000485333,0.000839333,0.000833998,0.000828,0.000815283,0.002702667,0.00066
4.333333,0.00519,0.000569333,0.000617333,0.000607501,0.000966,0.000984165,0.002842667,0.00053
4.416667,0.00519,0.000709333,0.000589333,0.000587554,0.000966,0.000970674,0.002674667,0.0004
4.5,0.00519,0.000737333,0.000783333,0.000778013,0.000966,0.000977924,0.002646667,0.00027
4.583333,0.005108,0.000681333,0.000755333,0.000768153,0.000966,0.000989323,0.002590667,0.00053
4.666667,0.005188,0.000849333,0.001285333,0.001313273,0.001104,0.001089009,0.002646667,0.00066
4.75,0.005482,0.000989333,0.001453333,0.001452167,0.001104,0.00111012,0.002674667,0.00106
4.833333,0.00575,0.001101333,0.001537333,0.001531156,0.001104,0.001081693,0.002842667,0.00066
4.916667,0.005724,0.001157333,0.001425333,0.001409712,0.001104,0.001105217,0.002870667,0.00066
5,0.005832,0.001129333,0.001509333,0.001534963,0.001104,0.001116484,0.002870667,0.00132
5.083333,0.005886,0.001045333,0.001007333,0.001017156,0.001104,0.001111326,0.002786667,0.0004
5.166667,0.005914,0.001045333,0.001007333,0.001033557,0.001104,0.00108279,0.002786667,0.00146
